iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"759,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WM","WASTE MANAGEMENT INC","Industrials","Equity","547,172,252.20","0.18","547,172,252.20","3,394,790.00","161.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","546,508,923.36","0.18","546,508,923.36","11,969,096.00","45.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","546,133,539.28","0.18","546,133,539.28","4,506,796.00","121.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","544,744,943.69","0.18","544,744,943.69","544,744,944.00","1.00","United States","-","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","538,003,598.14","0.18","538,003,598.14","2,152,531.00","249.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","532,934,316.39","0.18","532,934,316.39","823,179.00","647.41","United States","NASDAQ","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","531,072,864.48","0.18","531,072,864.48","3,909,547.00","135.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","531,013,842.54","0.18","531,013,842.54","12,240,983.00","43.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Discretionary","Equity","527,880,411.00","0.17","527,880,411.00","2,048,430.00","257.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","525,744,764.71","0.17","525,744,764.71","5,045,051.00","104.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","525,237,060.82","0.17","525,237,060.82","13,206,866.00","39.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","523,846,804.00","0.17","523,846,804.00","2,122,900.00","246.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","511,713,191.32","0.17","511,713,191.32","2,131,783.00","240.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","504,528,248.70","0.17","504,528,248.70","2,032,585.00","248.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","501,671,111.80","0.17","501,671,111.80","5,354,014.00","93.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","500,224,453.42","0.17","500,224,453.42","35,755,858.00","13.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","490,049,131.32","0.16","490,049,131.32","3,560,886.00","137.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EL","ESTEE LAUDER INC CLASS A","Consumer Staples","Equity","488,604,698.64","0.16","488,604,698.64","2,092,884.00","233.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","483,035,483.83","0.16","483,035,483.83","576,229.00","838.27","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"KLAC","KLA CORP","Information Technology","Equity","482,351,967.28","0.16","482,351,967.28","1,281,692.00","376.34","United States","NASDAQ","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","481,542,161.10","0.16","481,542,161.10","5,060,874.00","95.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","480,316,612.73","0.16","480,316,612.73","1,299,101.00","369.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","479,897,962.50","0.16","479,897,962.50","6,735,410.00","71.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
